SNAP_DATE_DAY,z_score_CAT_PYRAMID_NAME_VIP,z_score_CAT_PYRAMID_NAME_Обычный,z_score_DESCRIPTION_Некачественный сервис,z_score_DESCRIPTION_Ошибка в счёте,z_score_DESCRIPTION_Проблема с сетью,z_score_FLAG_LOCAL_GENERAL_0.0,z_score_FLAG_LOCAL_GENERAL_1.0,z_score_FULL_NAME_Поломка оборудования,z_score_FULL_NAME_Технические работы,z_score_SUBCAT_PYRAMID_NAME_Низкий ARPU,z_score_SUBCAT_PYRAMID_NAME_Высокий ARPU
2023-01-01,,,,,,,,,,,
2023-01-02,-1.1785107464222855,-0.42426394871196244,0.4714044096799468,-5000000.0,-0.7071062811869011,-0.4714044096799468,-1.4142125623738022,-0.42426394871196244,-1.1785107464222855,-6000000.0,0.35355332809328477
2023-01-03,-1.854344563049249,-3.4437827599486055,-2.073069278670721,-9.814937576253081,-0.5298127322997852,-3.6098477624469374,0.07053454666048978,-1.664100127137354,-4.800790442336748,-2.30939974342594,-2.3094005053300726
2023-01-04,-4.622620987472574,0.0,-0.439154904255449,-7.794215134083329,-1.5433296478660892,-1.2113588883266508,-1.22113713820432,-2.2478053162172955,-1.0147216801769066,-1.8278147511714125,-1.4048783226358097
2023-01-05,-1.7360733226045848,-3.9868319243108647,-3.362839305623227,-6.572658690083899,-3.434600609396014,-2.1908894300209565,-3.37309545973531,-4.109830994447583,-4.981666225484699,-5.099017513593569,-3.1465893551239303
2023-01-06,-4.6483464367219565,-1.7197244533625444,-1.5351580306052073,-7.756708018825032,-2.9497153499370135,-3.834056502536674,-1.603226492215138,-3.475074572436188,-0.5702657046098661,-3.6842145226379905,-2.09314495368481
2023-01-07,-0.561768760084685,-2.435831137215358,-1.7159200163941712,-3.0866564935389555,-2.2900977344160895,-1.7663882305792147,-1.9761971414709092,-0.47720840811918835,-4.763137658315306,-1.3326474730598619,-3.25077016436222
2023-01-08,-3.7472282964558867,-0.719332196134772,-2.381651234583658,-3.659621523560841,-1.2694903053342934,-2.693483097338404,-1.1239026581086478,-1.393863704874454,-2.345056027316473,-2.6945312200113176,-1.9702749286418297
2023-01-09,-4.092370314537943,-3.6562504610376583,-5.050280290009986,-5.5113485462642196,-2.5035677561893457,-4.649848831594717,-4.495610632434591,-4.117399167835201,-2.6707582533326493,-4.354151182819,-5.849358105938908
2023-01-10,-2.4138508845934723,-0.4940879001402239,-3.079765470774414,0.3969418724306098,-0.6900652260091819,-1.0475692623242365,-2.078526878187816,-0.5559264120553392,-2.3145491780033027,-2.55599224758242,-0.77405896505315
2023-01-11,-0.842041006253537,-3.91649386680487,-0.7311697632423636,-2.994817891535581,-5.008025954874448,-4.4064756995012235,-3.0310876007461034,-2.4905670910073807,-2.619816358042024,-2.937369855986513,-4.49191719370355
2023-01-12,-0.14323653029550248,-2.538391358255968,-1.302808904064707,-3.4999982500008757,0.16763952850753558,-3.1052927670422226,-2.309493791459261,-1.5285300939010358,-2.2275837266772975,-4.025585738413758,-0.6863680065576685
2023-01-13,-3.1819793903398614,-0.8272201283681208,-3.4546848422383887,-0.20701956780275468,-2.2220198906585837,-2.4511699496173316,-3.6202875649901927,-0.4545349747360724,-5.880773235203376,-1.8259326131808056,-3.480436159181286
2023-01-14,-2.495672019420646,-2.3552808142743475,-0.9157011521968593,-3.376116928803652,-2.068777139578682,-4.286604424872169,-3.183356307146549,-2.4726837708953493,-2.8647296484641998,-2.937369855986513,-3.6742331141753795
